1696	2025-06-15-19-17-21.650554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.651554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.652554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.654554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.655555	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.656554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.657554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.658554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.660554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.661554	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.662575	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.664574	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.665581	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.667586	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.668586	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.669586	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.671589	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.672587	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.673586	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.675585	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.676770	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.677775	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.678774	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.679773	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.680774	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.682888	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.684888	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.686888	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.687887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.688887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.689887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.690887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.691887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.693887	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.694886	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.696087	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.697096	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.698092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.699092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.701093	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.702093	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.704092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.705091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.706092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.707091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.709092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.710091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.711091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.712092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.714091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.715092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.716092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.718091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.719092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.721092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.722092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.723092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.725092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.726092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.727092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.729092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.730091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.731092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.734092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.735092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.737092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.738092	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.739091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.740091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.741091	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.742594	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.744597	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.745597	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.746597	1355249	108	22.63	129549	-30.02
1696	2025-06-15-19-17-21.748600	1355249	108	22.63	129549	-30.02
